Node_id,prediction,DC,BC,CC,EC,CEN,ECC,RAD,Conectivity_Score
CPX-7583,Down,0.1682539682539683,0.003392012165588538,0.3964421637874409,0.19362102200515038,0.6969019482593419,0,0.5138600138600138,0.1888461253228605
CPX-7585,Down,0.1682539682539683,0.003392012165588538,0.3964421637874409,0.19362102200515038,0.6969019482593419,0,0.5138600138600138,0.2571917901970283
CPX-7586,Down,0.1682539682539683,0.003392012165588538,0.3964421637874409,0.19362102200515038,0.6969019482593419,0,0.5138600138600138,0.249433343258601
CPX-7588,Down,0.607936507936508,0.08249927462964861,0.717636122896304,0.7668348625347847,0.22612583839029066,1,0.8035343035343034,0.6490696778061184
CPX-7589,Down,0.607936507936508,0.08249927462964861,0.717636122896304,0.7668348625347847,0.22612583839029066,1,0.8035343035343034,0.55521805707637
CPX-7591,Down,0.607936507936508,0.08249927462964861,0.717636122896304,0.7668348625347847,0.22612583839029066,1,0.8035343035343034,0.7391077803913685
CPX-7592,Down,0.607936507936508,0.08249927462964861,0.717636122896304,0.7668348625347847,0.22612583839029066,1,0.8035343035343034,0.55521805707637
CPX-8104,Down,0.9111111111111113,1,1,0.7217099470612846,0,1,1,0.6042635650325486
CPX-8663,Down,0.2968253968253969,0.01845969362241957,0.5474111759863534,0.32357257506887127,0.4490578090067072,1,0.6606029106029103,0.5057207125960282
CPX-8668,Down,0.32539682539682546,0.046525845121788346,0.5539396989085561,0.3319116241286401,0.44969658256148204,1,0.6664934164934162,0.4820369654192759
CPX-8679,Down,0.32698412698412704,0.02872976916536107,0.5405408124476923,0.3271159600347965,0.45704247844139256,1,0.6543659043659042,0.5226644711049963
CPX-8683,Down,0.3444444444444445,0.033897263432332424,0.5556743614689186,0.34099710188879656,0.445863941232833,1,0.6680526680526677,0.5668028715138153
CPX-8687,Down,0.30793650793650795,0.025593149429709427,0.5537471276944963,0.32873648266656885,0.44043436601724695,1,0.6663201663201663,0.5403102075437608
CPX-8692,Down,0.2777777777777778,0.011205153145890654,0.5138564924543738,0.30844326973392233,0.5023954008304056,0,0.6297643797643797,0.4769275242647958
CPX-8678,Down,0.3682539682539683,0.035427597058359184,0.5657507786631086,0.3502123828783759,0.4260619610348131,1,0.6770616770616766,0.5478952315123241
CPX-8664,Down,0.3428571428571429,0.02566803935306856,0.569065069771721,0.3493435270431342,0.4139252634940914,1,0.6800069300069298,0.5950742824808813
