Node_id,DEG,DC,BC,CC,EC,CEN,ECC,RAD,Target_group_score_normalized,Conectivity_score_topo
CPX-8666,Down,0.216089803554724,0.0155967324384836,0.7403626122161592,0.3389676299975365,0.5737316263632053,0.75,0.8603285829269448,0.1,0.890285123757759
CPX-8682,Down,0.2310570626753975,0.012225015550927,0.7437008222084697,0.3535047025121002,0.5649596965386439,0.75,0.8627432413238011,0.1,0.917355992193111
CPX-8686,Down,0.2151543498596819,0.0097999207369424,0.7456124800567276,0.3489376738756272,0.551683262209578,0.75,0.8641162823729938,0.1,0.901811372322806
CPX-8693,Down,0.1973807296538821,0.0048754687469016,0.73179643323184,0.329263448774192,0.5998103366524419,0.6000000000000001,0.8540315325978884,0.1,0.865995544071452
HTRA1,Up,0.0205799812909261,0.0045661291758392,0.6414518834833003,0.012879898780457,0.933854907539118,0.6000000000000001,0.7773779650584727,0.1,0.796391215403672
LRP4,Up,0.0149672591206735,0.0006322931292647,0.6247307835128111,0.012519741487498,0.9665718349928876,0.6000000000000001,0.7607594337389328,0.1,0.919213088711914
GPT2,Up,0.1552853133769878,0.02378873149989,0.7219361483007211,0.2110120487783998,0.6605026078710289,0.6000000000000001,0.8465981724350173,0.1,0.798821162799404
CPX-1908,Down,0.1000935453695042,0.0501293703598436,0.7372480280455741,0.035239785909699,0.5941204362256994,0.75,0.8580559632593154,0.1,0.83919380463187
PAX6,Up,0.3115060804490178,0.1034029912444975,0.8076036866359447,0.4410550288279999,0.4751066856330014,0.75,0.9051181288764736,0.1,0.764117109292845
PSAT1,Up,0.108512628624883,0.0429322376167369,0.7205139186295503,0.0483313290210087,0.665244191559981,0.75,0.8455092088442783,0.1,0.71720408469454
SOX9,Up,0.3573433115060804,0.1367302090112486,0.8211636079656385,0.4860958573100286,0.4343290659080133,0.75,0.9132616826854788,0.1,0.82940468570703
CPX-5022,Down,0.0804490177736202,0.0295827665492323,0.7204522096608428,0.0580897658138921,0.6626363205310574,0.75,0.8454618626012026,0.1,0.692216339996241
CPX-5021,Down,0.1290926099158091,0.0570051120658223,0.7460753880266076,0.1605357268520711,0.5609293504030346,0.6000000000000001,0.864447706074523,0.1,0.769063374306918
CPX-846,Down,0.5912067352666043,0.1614836383881558,0.8467035732259689,0.9700247046802504,0.2949265054528212,0.75,0.9278916717958432,0.1,1.23786220777675
KLF15,Up,0.0383536014967259,0.0006001189597633,0.7165857398415538,0.0800354700320113,0.6647700331910859,0.6000000000000001,0.842479049287439,0.1,0.875269587013816
