GO_term,Term_Name_Clean,Ontology
GO:0031063,Regulation Of Histone Deacetylation,Biological process
GO:0086091,Regulation Of Heart Rate By Cardiac Conduction,Biological process
GO:0001654,Eye Development,Biological process
GO:0006351,DNA-templated Transcription,Biological process
GO:0045582,Positive Regulation Of T Cell Differentiation,Biological process
GO:0032968,Positive Regulation Of Transcription Elongation By RNA Polymerase II,Biological process
GO:0033044,Regulation Of Chromosome Organization,Biological process
GO:0071396,Cellular Response To Lipid,Biological process
GO:0043406,Positive Regulation Of MAP Kinase Activity,Biological process
GO:0071902,Positive Regulation Of Protein Serine/Threonine Kinase Activity,Biological process
GO:0009267,Cellular Response To Starvation,Biological process
GO:0071375,Cellular Response To Peptide Hormone Stimulus,Biological process
GO:1905168,Positive Regulation Of Double-Strand Break Repair Via Homologous Recombination,Biological process
GO:0010595,Positive Regulation Of Endothelial Cell Migration,Biological process
GO:0051130,Positive Regulation Of Cellular Component Organization,Biological process
GO:0034504,Protein Localization To Nucleus,Biological process
GO:0035987,Endodermal Cell Differentiation,Biological process
GO:0032210,Regulation Of Telomere Maintenance Via Telomerase,Biological process
GO:0048584,Positive Regulation Of Response To Stimulus,Biological process
GO:0006260,DNA Replication,Biological process
GO:0002573,Myeloid Leukocyte Differentiation,Biological process
GO:0030099,Myeloid Cell Differentiation,Biological process
GO:0006352,DNA-templated Transcription Initiation,Biological process
GO:0000082,G1/S Transition Of Mitotic Cell Cycle,Biological process
GO:0097193,Intrinsic Apoptotic Signaling Pathway,Biological process
GO:0000398,"mRNA Splicing, Via Spliceosome",Biological process
GO:0031175,Neuron Projection Development,Biological process
GO:0006997,Nucleus Organization,Biological process
GO:0033365,Protein Localization To Organelle,Biological process
GO:0007215,Glutamate Receptor Signaling Pathway,Biological process
GO:1904358,Positive Regulation Of Telomere Maintenance Via Telomere Lengthening,Biological process
GO:0031324,Negative Regulation Of Cellular Metabolic Process,Biological process
GO:0045765,Regulation Of Angiogenesis,Biological process
GO:0032006,Regulation Of TOR Signaling,Biological process
GO:0097435,Supramolecular Fiber Organization,Biological process
GO:0008015,Blood Circulation,Biological process
GO:0006996,Organelle Organization,Biological process
GO:0006298,Mismatch Repair,Biological process
GO:0033363,Secretory Granule Organization,Biological process
GO:0032984,Protein-Containing Complex Disassembly,Biological process
GO:1902774,Late Endosome To Lysosome Transport,Biological process
GO:0050727,Regulation Of Inflammatory Response,Biological process
GO:0044772,Mitotic Cell Cycle Phase Transition,Biological process
GO:0008089,Anterograde Axonal Transport,Biological process
GO:1902531,Regulation Of Intracellular Signal Transduction,Biological process
GO:0019722,Calcium-Mediated Signaling,Biological process
GO:0051302,Regulation Of Cell Division,Biological process
GO:0032101,Regulation Of Response To External Stimulus,Biological process
GO:0043393,Regulation Of Protein Binding,Biological process
GO:0060155,Platelet Dense Granule Organization,Biological process
GO:0016241,Regulation Of Macroautophagy,Biological process
GO:0014065,Phosphatidylinositol 3-Kinase Signaling,Biological process
GO:0032212,Positive Regulation Of Telomere Maintenance Via Telomerase,Biological process
GO:0034644,Cellular Response To UV,Biological process
GO:0045807,Positive Regulation Of Endocytosis,Biological process
GO:0018205,Peptidyl-Lysine Modification,Biological process
GO:0060828,Regulation Of Canonical Wnt Signaling Pathway,Biological process
GO:0015980,Energy Derivation By Oxidation Of Organic Compounds,Biological process
GO:1904645,Response To Amyloid-Beta,Biological process
GO:0010975,Regulation Of Neuron Projection Development,Biological process
GO:0014066,Regulation Of Phosphatidylinositol 3-Kinase Signaling,Biological process
GO:1901216,Positive Regulation Of Neuron Death,Biological process
GO:0008016,Regulation Of Heart Contraction,Biological process
GO:0043434,Response To Peptide Hormone,Biological process
GO:0086001,Cardiac Muscle Cell Action Potential,Biological process
GO:0090100,Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway,Biological process
GO:0060429,Epithelium Development,Biological process
GO:0090148,Membrane Fission,Biological process
GO:1901652,Response To Peptide,Biological process
GO:0051092,Positive Regulation Of NF-kappaB Transcription Factor Activity,Biological process
GO:0034502,Protein Localization To Chromosome,Biological process
GO:0032510,Endosome To Lysosome Transport Via Multivesicular Body Sorting Pathway,Biological process
GO:0043981,Histone H4-K5 Acetylation,Biological process
GO:0043982,Histone H4-K8 Acetylation,Biological process
GO:1904505,Regulation Of Telomere Maintenance In Response To DNA Damage,Biological process
GO:0003143,Embryonic Heart Tube Morphogenesis,Biological process
GO:0070372,Regulation Of ERK1 And ERK2 Cascade,Biological process
GO:0043968,Histone H2A Acetylation,Biological process
GO:0031334,Positive Regulation Of Protein-Containing Complex Assembly,Biological process
GO:0030888,Regulation Of B Cell Proliferation,Biological process
GO:0034097,Response To Cytokine,Biological process
GO:0030217,T Cell Differentiation,Biological process
GO:0007034,Vacuolar Transport,Biological process
GO:0045762,Positive Regulation Of Adenylate Cyclase Activity,Biological process
GO:0086004,Regulation Of Cardiac Muscle Cell Contraction,Biological process
GO:0086003,Cardiac Muscle Cell Contraction,Biological process
GO:0045995,Regulation Of Embryonic Development,Biological process
GO:0032102,Negative Regulation Of Response To External Stimulus,Biological process
GO:0120161,Regulation Of Cold-Induced Thermogenesis,Biological process
GO:0055010,Ventricular Cardiac Muscle Tissue Morphogenesis,Biological process
GO:0007041,Lysosomal Transport,Biological process
GO:0043523,Regulation Of Neuron Apoptotic Process,Biological process
GO:0006886,Intracellular Protein Transport,Biological process
GO:0072001,Renal System Development,Biological process
GO:1900180,Regulation Of Protein Localization To Nucleus,Biological process
GO:0002221,Pattern Recognition Receptor Signaling Pathway,Biological process
GO:0050731,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation,Biological process
GO:0071702,Organic Substance Transport,Biological process
GO:0001889,Liver Development,Biological process
GO:0006821,Chloride Transport,Biological process
GO:0055080,Monoatomic Cation Homeostasis,Biological process
GO:0016192,Vesicle-Mediated Transport,Biological process
GO:0090316,Positive Regulation Of Intracellular Protein Transport,Biological process
GO:1902532,Negative Regulation Of Intracellular Signal Transduction,Biological process
GO:0051241,Negative Regulation Of Multicellular Organismal Process,Biological process
GO:2000146,Negative Regulation Of Cell Motility,Biological process
GO:0051348,Negative Regulation Of Transferase Activity,Biological process
GO:0060337,Type I Interferon-Mediated Signaling Pathway,Biological process
GO:0035270,Endocrine System Development,Biological process
GO:1903053,Regulation Of Extracellular Matrix Organization,Biological process
GO:0014068,Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling,Biological process
GO:0042176,Regulation Of Protein Catabolic Process,Biological process
GO:0007409,Axonogenesis,Biological process
GO:0048863,Stem Cell Differentiation,Biological process
GO:0098661,Inorganic Anion Transmembrane Transport,Biological process
GO:1901992,Positive Regulation Of Mitotic Cell Cycle Phase Transition,Biological process
GO:0033135,Regulation Of Peptidyl-Serine Phosphorylation,Biological process
GO:0070588,Calcium Ion Transmembrane Transport,Biological process
GO:0000070,Mitotic Sister Chromatid Segregation,Biological process
GO:0006626,Protein Targeting To Mitochondrion,Biological process
GO:0032479,Regulation Of Type I Interferon Production,Biological process
GO:0008104,Protein Localization,Biological process
GO:0042770,Signal Transduction In Response To DNA Damage,Biological process
GO:0016072,rRNA Metabolic Process,Biological process
GO:0045814,"Negative Regulation Of Gene Expression, Epigenetic",Biological process
GO:0008589,Regulation Of Smoothened Signaling Pathway,Biological process
GO:1904507,Positive Regulation Of Telomere Maintenance In Response To DNA Damage,Biological process
GO:0051569,Regulation Of Histone H3-K4 Methylation,Biological process
GO:0006268,DNA Unwinding Involved In DNA Replication,Biological process
GO:0035751,Regulation Of Lysosomal Lumen pH,Biological process
GO:0043331,Response To dsRNA,Biological process
GO:0010508,Positive Regulation Of Autophagy,Biological process
GO:0042733,Embryonic Digit Morphogenesis,Biological process
GO:0033141,Positive Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein,Biological process
GO:1904872,Regulation Of Telomerase RNA Localization To Cajal Body,Biological process
GO:0043405,Regulation Of MAP Kinase Activity,Biological process
GO:0046034,ATP Metabolic Process,Biological process
GO:0007224,Smoothened Signaling Pathway,Biological process
GO:0000377,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile",Biological process
GO:0006936,Muscle Contraction,Biological process
GO:0031348,Negative Regulation Of Defense Response,Biological process
