proteina,GO_term,Term_Name_Clean
CXCL8,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
EIF2AK3,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-17,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-20,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6047,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
SOX2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
LMNB2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1123,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1147,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6045,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
ATG7,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
MTOR,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6593,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6595,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-304,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-481,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-200,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-354,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-356,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-358,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
MMP9,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CSNK2B,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1983,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1985,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1987,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-1991,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-298,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-860,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
FOXO1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
JAK2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6570,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
ERN1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7241,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
IKBKB,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-69,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-91,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
MYD88,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-8623,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-8624,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-8625,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-77,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-80,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
NOTCH2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CDK4,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
HDAC4,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6276,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
PRMT1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
HDAC9,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
REST,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2291,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2292,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2295,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2296,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2297,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2298,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2555,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7546,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
