min_cluster_size,min_samples,cluster_selection_epsilon,alpha,Num Clusters (valid),Num Ruido,Porcentaje Ruido,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
4,3,0.0,1.5,106,3859,71.59554730983302,0.5927105351439269,0.5259803064013338,638.5035045803592
40,35,0.0,1.0,11,4101,76.08534322820037,0.5922365094762707,0.5395177033573287,1165.7874890352878
20,20,0.0,1.0,19,4028,74.73098330241187,0.592166740696616,0.5335095976106912,1080.9336157591679
60,45,0.0,1.5,5,4347,80.64935064935065,0.5921600207062163,0.5577135108228573,1220.9383323055933
16,8,0.0,1.5,27,4084,75.7699443413729,0.5920111910346535,0.5262659085772966,1186.7719865727934
40,7,0.0,1.5,11,4113,76.30797773654916,0.5916782683804857,0.5913660755132419,1174.5830364944147
12,8,0.0,1.5,33,4040,74.95361781076066,0.5914120292720176,0.5012807717494577,1025.6173609081025
50,9,0.0,2.0,7,4297,79.72170686456401,0.591045776506442,0.6700627486347833,1304.572016582465
60,9,0.0,2.0,7,4297,79.72170686456401,0.591045776506442,0.6700627486347833,1304.572016582465
70,9,0.0,2.0,6,4364,80.9647495361781,0.5909520817679851,0.6834002884352152,1364.4479352516732
16,5,0.0,2.0,27,4182,77.58812615955473,0.5907378704639403,0.5537724129000838,1069.037908570729
18,5,0.0,2.0,26,4199,77.9035250463822,0.5899458867951535,0.5522085118751969,1100.761163905713
6,3,0.0,1.5,77,3900,72.35621521335807,0.5896787770305238,0.5871424182691924,716.4906698334498
4,2,0.0,2.0,94,4008,74.35992578849722,0.5894742552511738,0.5656336776550345,705.1367742645793
10,8,0.0,1.0,46,3946,73.20964749536178,0.5893466225550488,0.5685279550993044,929.3204397668216
16,7,0.0,1.5,28,4081,75.71428571428571,0.5892589736178574,0.5535743372944995,1147.886324679022
50,6,0.0,1.5,10,4132,76.6604823747681,0.5891530138450952,0.622515470965394,1235.2114537305981
70,10,0.0,2.0,5,4443,82.430426716141,0.5889623678830753,0.7188887884691836,1455.801902401206
80,10,0.0,2.0,5,4443,82.430426716141,0.5889623678830753,0.7188887884691836,1455.801902401206
90,10,0.0,2.0,5,4443,82.430426716141,0.5889623678830753,0.7188887884691836,1455.801902401206
100,10,0.0,2.0,5,4443,82.430426716141,0.5889623678830753,0.7188887884691836,1455.801902401206
12,7,0.0,1.5,35,4026,74.6938775510204,0.5886917286913884,0.5376737564816908,970.8440913466984
60,9,0.0,1.5,7,4205,78.01484230055658,0.5884936028895347,0.5872176714095876,1462.0296199903723
12,3,0.0,1.5,39,4042,74.99072356215213,0.5871610039209516,0.60104290887262,943.1298559540016
60,6,0.0,2.0,7,4303,79.83302411873841,0.5870496446394322,0.5919520035807363,1511.2425803717579
30,7,0.0,1.5,17,4084,75.7699443413729,0.586415549347089,0.5388163089700647,1141.0533382442338
80,9,0.0,2.0,5,4434,82.26345083487941,0.5863811174908293,0.7244174351203676,1446.9064687450152
90,9,0.0,2.0,5,4434,82.26345083487941,0.5863811174908293,0.7244174351203676,1446.9064687450152
100,9,0.0,2.0,5,4434,82.26345083487941,0.5863811174908293,0.7244174351203676,1446.9064687450152
20,5,0.0,2.0,25,4217,78.23747680890538,0.5861220427660547,0.5598024807650845,1123.9893980750146
10,3,0.0,1.5,47,4034,74.84230055658627,0.586059833445821,0.5842100262691714,890.0027446362275
10,9,0.0,1.5,34,4042,74.99072356215213,0.585909495571464,0.4828326167208195,913.5127030715316
16,9,0.0,1.5,25,3927,72.85714285714285,0.5856698956449117,0.5181110054292272,771.8684497470853
18,9,0.0,1.5,25,3927,72.85714285714285,0.5856698956449117,0.5181110054292272,771.8684497470853
40,9,0.0,1.5,11,4081,75.71428571428571,0.5853428435300361,0.6177455626803482,1125.8616999502462
60,3,0.0,1.5,8,4139,76.79035250463822,0.585304494390637,0.6181877718846382,1473.0428648565494
50,5,0.0,2.0,9,4196,77.84786641929499,0.5852904521188943,0.6326490853789508,1167.9971375788707
12,9,0.0,1.5,33,4052,75.17625231910947,0.5850118004666746,0.48713589863030443,933.8650188067544
30,10,0.0,1.5,14,4141,76.82745825602967,0.584591477477864,0.5445435727994595,1124.3394742806718
6,5,0.0,1.5,60,3904,72.430426716141,0.5843968035833196,0.5119246197315795,720.7564786834187
50,2,0.0,2.0,10,4276,79.33209647495362,0.5841033587177327,0.6721962400864999,1368.2938257651206
50,7,0.0,1.5,10,4154,77.06864564007421,0.5840498795848562,0.6177949130920485,1238.8051290154121
60,5,0.0,1.5,8,4143,76.86456400742115,0.5840015178584442,0.6049190589436784,1473.2570305940658
