eps,min_samples,Num Clusters (valid),Num Ruido,Porcentaje Ruido,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
0.0064,4,87,3407,63.20964749536178,0.20560443492482045,0.7910475436055259,270.11787008583747
0.0446,30,2,675,12.523191094619666,0.20323048063571666,0.9522544488661326,134.07747643697266
0.0446,60,4,1312,24.341372912801486,0.19285693948970323,1.0562762917253143,551.1100222988936
0.05,8,2,169,3.13543599257885,0.18707412067428583,0.874663846226701,14.181065606811126
0.05,70,4,1162,21.558441558441558,0.18467809401457635,1.0688344517128177,551.3138049648641
0.05,6,2,147,2.727272727272727,0.1834377977248372,0.8867680192057966,13.975634229902264
0.0119,12,24,3151,58.460111317254174,0.1760329130043973,0.7497391138439661,549.6581056319556
0.0391,12,2,507,9.406307977736548,0.1754844450117113,0.949237284383195,20.016718547209805
0.0228,30,8,2528,46.901669758812616,0.17040837483702276,0.7652213891423352,261.2609513825784
0.0391,50,5,1463,27.142857142857142,0.16550603109168666,0.9629261089370162,443.6814416562996
0.0337,16,2,908,16.846011131725415,0.16043215622199866,1.089288675898468,182.35114971463207
0.1,2,2,7,0.12987012987012986,0.15540916609569685,0.9197597561817968,3.5082300034045586
0.0337,18,2,975,18.089053803339517,0.15279275277502966,1.0613845740481276,157.69209194930312
0.0119,10,25,2994,55.547309833024116,0.13198934847941843,0.7594609947406663,343.5703827324536
0.0833,4,2,23,0.42671614100185534,0.13059381746081025,0.8560922690260374,6.453620990744337
0.0337,40,7,1623,30.111317254174395,0.12299933237832664,0.8984343717875323,322.41795849159126
0.0064,2,314,2822,52.35621521335807,0.12153439953008538,0.7122780173045355,106.51485160393177
0.0173,14,17,2455,45.547309833024116,0.11967797241785368,0.809824549300898,327.0418231886202
0.0173,16,14,2581,47.88497217068646,0.11942672890975643,0.8681132133932624,378.75596564277225
0.0391,10,3,444,8.237476808905381,0.10495704439190263,0.8441112373922689,27.263932831279803
0.05,4,3,117,2.170686456400742,0.10354788997582166,0.8196719192967334,7.233414176441936
0.0391,30,3,977,18.126159554730982,0.10153963638897184,0.9686969519413191,142.27267555400354
0.0337,20,3,1036,19.22077922077922,0.10129042940623287,0.9877164819841059,148.68578210191356
0.0337,50,4,2092,38.8126159554731,0.08138035760647154,1.2081523006028654,475.4223850476028
0.0446,6,4,209,3.877551020408163,0.0806371674713487,0.9269720721976147,8.782870646131352
0.0119,8,30,2810,52.13358070500927,0.0693134499466534,0.8152631012226793,244.78629902538697
0.0337,8,5,592,10.98330241187384,0.06465357235924289,1.057663489694567,19.86359899368237
0.0337,10,4,667,12.374768089053804,0.06395132212267349,0.8577827473332714,21.009894441499323
